,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.07852564102564102,0.03036744609778319,0.050000000000000044,0.02288537150922476,0.030603060306030605,0.042476303787735925
AdversarialDebiase,0.12099358974358981,-0.34770725781961737,-0.020000000000000018,0.08892025405786869,0.15081508150815087,-0.0013956665020016024
GridSearchReduction(EO),0.04967948717948717,0.019131491041603388,0.040000000000000036,-0.02298618812380282,0.020702070207020695,0.021305372060861694
GridSearchReduction(DP),0.02964743589743596,0.037149509059621444,0.08000000000000007,-0.02843028531101921,0.030803080308030806,0.029833947990813812
Reweight,0.10016025641025644,0.016904544994432613,0.09000000000000008,0.0137110595826192,0.05120512051205123,0.05439619629987191
DisparateImpactRemover(0.5),0.08012820512820512,0.007895535985423585,0.06000000000000005,0.0027220485936082506,0.07100710071007099,0.0443505780834616
DisparateImpactRemover(0.7),0.061698717948717896,0.055167527077639444,0.040000000000000036,0.011896360520213811,0.06070607060706068,0.045893735230726374
DisparateImpactRemover(1.0),0.060096153846153855,0.034922563012450614,0.11000000000000004,-0.03216050005040827,0.07120712071207119,0.04881306750405349
CalibratedEqOddsPostprocessing,0.07852564102564102,0.016904544994432613,0.040000000000000036,0.02470007057163015,0.04110411041104112,0.040246873400548985
RejectOptionClassification(EO),0.0993589743589744,0.019131491041603388,0.07000000000000006,-0.00463756427059181,0.031003100310031007,0.04297120028800341
RejectOptionClassification(DP),0.08894230769230771,0.037149509059621444,0.040000000000000036,-0.02661558624861382,0.05100510051005097,0.03809626620267327
