,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.051868802440884876,0.11762360446570974,-0.04031620553359683,0.050000000000000044,0.05490196078431364,0.04681563243146229
AdversarialDebiase,0.05110602593440117,-0.25518341307814985,-0.08023715415019772,0.06818181818181812,0.14379084967320255,-0.014468374687785146
GridSearchReduction(EO),-0.0007627765064835978,0.10007974481658699,-0.029249011857707563,-0.022727272727272707,0.0326797385620915,0.016004084457442926
GridSearchReduction(DP),-0.040045766590389054,0.11762360446570974,0.03596837944664033,-0.009090909090909038,0.03529411764705881,0.027949885175622156
Reweight,0.05606407322654461,0.09489633173843703,0.014229249011857736,0.03181818181818186,0.0771241830065359,0.05482640376031143
DisparateImpactRemover(0.5),0.03852021357742186,0.09489633173843703,0.017786561264822143,-0.027272727272727226,0.09673202614379084,0.04413248109034893
DisparateImpactRemover(0.7),0.029366895499618573,0.15271132376395535,-0.018577075098814233,-0.022727272727272707,0.07450980392156858,0.04305673507181111
DisparateImpactRemover(1.0),-0.0007627765064835978,0.1351674641148326,0.08300395256916993,-0.054545454545454564,0.09934640522875815,0.0524419181721645
CalibratedEqOddsPostprocessing,0.051868802440884876,0.09489633173843703,-0.025691699604743157,0.036363636363636376,0.015686274509803866,0.0346246690896038
RejectOptionClassification(EO),0.07360793287566747,0.10007974481658699,0.014229249011857736,0.013636363636363669,0.013071895424836666,0.042925037153062506
RejectOptionClassification(DP),0.051868802440884876,0.11762360446570974,-0.06561264822134394,-0.031818181818181746,0.05490196078431364,0.025392707530276514
