,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.8565,0.8665,0.874,0.8575,0.8565,0.8622
AdversarialDebiase,0.8475,0.868,0.854,0.854,0.849,0.8545
GridSearchReduction(EO),0.8605,0.8675,0.872,0.858,0.857,0.8630000000000001
GridSearchReduction(DP),0.8625,0.864,0.873,0.855,0.858,0.8625
Reweight,0.86,0.864,0.87,0.857,0.857,0.8615999999999999
DisparateImpactRemover(0.5),0.8575,0.8725,0.873,0.855,0.8555,0.8626999999999999
DisparateImpactRemover(0.7),0.859,0.871,0.875,0.8515,0.855,0.8623000000000001
DisparateImpactRemover(1.0),0.859,0.871,0.877,0.8585,0.859,0.8649000000000001
CalibratedEqOddsPostprocessing,0.86,0.872,0.876,0.8545,0.857,0.8639000000000001
RejectOptionClassification(EO),0.857,0.8625,0.8695,0.853,0.853,0.859
RejectOptionClassification(DP),0.858,0.8655,0.8745,0.8535,0.858,0.8619
