,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.13026202749140897,-0.10207792207792205,0.034697817155868005,0.12542372881355934,-0.037053755421663115,0.03025037919225023
AdversarialDebiase,0.02158505154639173,-0.0007792207792207684,0.05531356729198639,-0.031162227602905546,-0.030675328243675526,0.002856368442515256
GridSearchReduction(EO),0.0783397766323024,-0.14207792207792208,0.009033311884373618,0.023341404358353524,-0.06190018252114693,-0.018652722344807894
GridSearchReduction(DP),0.06282216494845361,-0.13238095238095238,-0.0009899519873285967,0.009152542372881378,-0.053932055031107096,-0.023065650415610615
Reweight,0.15614261168384874,-0.08441558441558439,0.04152848586843538,0.09280871670702179,-0.06074225266421995,0.029064395435900316
DisparateImpactRemover(0.5),0.13541666666666669,-0.09610389610389608,0.05110627134583973,0.12138014527845037,-0.04313779365297432,0.033732278706817276
DisparateImpactRemover(0.7),0.1250536941580756,-0.07177489177489177,0.07357818145819928,0.09024213075060533,-0.04313779365297432,0.034792264187802825
DisparateImpactRemover(1.0),0.08349441580756012,-0.05844155844155846,0.047913676186705,0.07014527845036317,-0.05980020803485564,0.016662320793642837
CalibratedEqOddsPostprocessing,0.1094823883161512,-0.03246753246753248,0.0422956986586151,0.1057142857142857,-0.01923341118285482,0.04115828580773294
RejectOptionClassification(EO),0.11989905498281783,-0.06675324675324679,0.06598029995545218,0.0872881355932203,-0.05299001040174278,0.030684846675300147
RejectOptionClassification(DP),0.10432774914089349,-0.10008658008658011,0.023461862099688202,0.11842615012106533,-0.027201538672894654,0.023785528520434453
