,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.024258090875519556,0.0039247586730504005,0.009229564258846808,0.03682796218609237,0.044597237333186435,0.023767522665339113
AdversarialDebiase,-0.017634533640285055,0.011933869443282358,0.00015148926843576438,-0.003840676371463004,0.0028990097919048066,-0.0012981683016250259
GridSearchReduction(EO),0.0032009931407289832,-0.0029842420861804497,-0.0013343948326043562,0.013252266707908827,0.00755739488507251,0.003938403562985103
GridSearchReduction(DP),0.00604684418533389,-0.003909264165853209,-0.006876645834206278,0.010238044605976243,0.004895952403905744,0.002078986239031278
Reweight,0.023107807626126516,0.0045414400594989066,0.01408850196452573,0.03137787486870171,0.031734172508297645,0.020969959405430103
DisparateImpactRemover(0.5),0.020261956581521613,0.007225088706053703,0.010834705869081043,0.029932788163499396,0.033063172246629295,0.02026354231335701
DisparateImpactRemover(0.7),0.031100076214122394,0.01114210012550551,0.014370529857890172,0.025143219852945913,0.03195452479651843,0.022742090169396482
DisparateImpactRemover(1.0),0.02679437115491895,0.010833759432281258,0.009912877554769817,0.025267268544473875,0.03572461472779606,0.021706578282847992
CalibratedEqOddsPostprocessing,0.024567661640725057,0.006433319388276862,0.00408859865980345,0.02770313375993195,0.02441434493396317,0.0174414116765401
RejectOptionClassification(EO),0.025334517140320416,0.012375462898402516,0.01448978736708428,0.03426804827910633,0.04127129498285384,0.02554782213355348
RejectOptionClassification(DP),0.03148350396392008,0.008458451478950711,0.008144965560365248,0.03748848119292954,0.0315103772155734,0.023417155882347794
