,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.7124463519313304,0.7478260869565218,0.8122448979591836,0.7404580152671756,0.7849829351535836,0.759591657453559
AdversarialDebiase,0.6680497925311203,0.7623318385650224,0.7603686635944701,0.8287292817679558,0.7900763358778626,0.7619111824672862
GridSearchReduction(EO),0.7296137339055794,0.7416666666666667,0.796812749003984,0.7634854771784232,0.795774647887324,0.7654706549283954
GridSearchReduction(DP),0.7444933920704846,0.746606334841629,0.8032128514056225,0.746938775510204,0.7972027972027972,0.7676908302061475
Reweight,0.7324561403508771,0.7339055793991416,0.7935222672064778,0.7431906614785992,0.7818791946308725,0.7569907686131936
DisparateImpactRemover(0.5),0.7167381974248928,0.7669491525423728,0.7915057915057915,0.7410358565737052,0.7915194346289752,0.7615496865351475
DisparateImpactRemover(0.7),0.7260869565217392,0.7617021276595745,0.8137651821862348,0.7298387096774194,0.7887323943661971,0.7640250740822331
DisparateImpactRemover(1.0),0.7184873949579832,0.7662337662337663,0.8244897959183674,0.7580645161290323,0.7965517241379311,0.772765439475416
CalibratedEqOddsPostprocessing,0.7304347826086957,0.7593360995850622,0.8152610441767069,0.7362204724409449,0.7876712328767124,0.7657847263376244
RejectOptionClassification(EO),0.7155172413793104,0.7264957264957265,0.788,0.7312252964426877,0.773972602739726,0.7470421734114903
RejectOptionClassification(DP),0.7198275862068966,0.7352941176470589,0.8104838709677419,0.7251908396946565,0.7972027972027972,0.7575998423438302
