,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,-0.0673846545932623,-0.0530330080021208,-0.059066676060969,-0.0236962577388109,-0.0409048293220072,-0.048817085143434
AdversarialDebiase,-0.0403836811160741,0.0356689073241915,-0.030302496535851,0.0591205325247878,0.051904986628913,0.0152016497651934
GridSearchReduction(EO),-0.0784221950348375,-0.0487659466230715,-0.0463256534911576,-0.0153444408763557,-0.0229948088721094,-0.0423706089795063
GridSearchReduction(DP),-0.0736215863205931,-0.0426013520371912,-0.0359919208999741,-0.0106700372657819,-0.0069048293220072,-0.0339579451691095
Reweight,-0.0689848574980104,-0.0464059717961364,-0.0593367622536931,-0.0309421745591958,-0.0518263331760264,-0.0514992198566124
DisparateImpactRemover(0.5),-0.0071371990200288,-0.0481888648595717,0.0021783038587096,0.0515292164228334,-0.0225228881547899,-0.0048282863505695
DisparateImpactRemover(0.7),0.0199547507708481,-0.0469302116185396,0.0490265154183987,0.1221362976682125,-0.0208824917413874,0.0246609720995064
DisparateImpactRemover(1.0),0.0333647206720852,-0.0474022065839267,0.0549390544634678,0.1482186109845684,-0.0148824917413874,0.0348475375589614
CalibratedEqOddsPostprocessing,-0.071383017632251,-0.0516074697606767,-0.068877850583621,-0.0293303112452048,-0.0422082743432436,-0.0526813847129994
RejectOptionClassification(EO),-0.0731299466456083,-0.0519125797256518,-0.0533302801850677,-0.0241835507792954,-0.0607251848356143,-0.0526563084342475
RejectOptionClassification(DP),-0.036265527506438355,-0.03923169385375719,-0.054996346772355736,-0.05859769624789957,-0.07425534107148457,-0.05266932109038709
