,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,1.7261810367612418,1.2712835045459914,1.5763239875389408,2.0645634629493763,1.6137773281133154,1.650425863981773
AdversarialDebiase,1.0708733901293106,1.6024696206625697,1.5120274914089347,1.276062550120289,1.3124092728632386,1.3547684650368683
GridSearchReduction(EO),1.377793352836015,1.144312772930639,1.399810066476733,1.547706729159692,1.2879305494152165,1.3515106941636592
GridSearchReduction(DP),1.3806139169823926,1.1356294077866873,1.3352007469654528,1.4653575989782888,1.2875498802873104,1.3208703102000263
Reweight,1.8179991770144992,1.302544574329909,1.6257861635220128,1.9054390330607893,1.4509236227215268,1.6205385141297473
DisparateImpactRemover(0.5),1.696166097838453,1.3338056441138268,1.6041666666666665,1.99643928035982,1.5165618264197425,1.6294279030797019
DisparateImpactRemover(0.7),1.8122866894197953,1.4175692798168888,1.7374727668845318,1.8290229885057472,1.504713687150838,1.66021308235556
DisparateImpactRemover(1.0),1.6153962836556692,1.4485327385023306,1.6296296296296295,1.7982580874511198,1.4985287219071177,1.5980690922291734
CalibratedEqOddsPostprocessing,1.6875351926546465,1.457659025352968,1.5444444444444443,1.9012212643678161,1.4965295412222785,1.6174778936084309
RejectOptionClassification(EO),1.71329908872571,1.4067481402763018,1.687830687830688,1.921234119782214,1.5385474860335195,1.6535319045296866
RejectOptionClassification(DP),1.743795128973091,1.3095546324026663,1.5333333333333332,2.0306715063520873,1.5457264769278143,1.6326162155977986
