,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.06413195596731751,0.027666306412622355,0.05606060606060605,0.09334791559444158,0.07054273363836296,0.06234990353467009
AdversarialDebiase,0.008282260577109457,0.05233919272989275,0.04515151515151515,0.022146809058157496,0.03590586212998308,0.03276512792933158
GridSearchReduction(EO),0.03774563382482933,0.01621644946057227,0.04252525252525251,0.05262480699948534,0.03621931798073763,0.03706629215817542
GridSearchReduction(DP),0.037008846521927555,0.014088040468872146,0.036262626262626246,0.04688304168811118,0.03643165904092621,0.03413484279649267
Reweight,0.06859225926794195,0.030854404180953893,0.06030303030303032,0.08192871847658262,0.055906367703935894,0.05951695598648894
DisparateImpactRemover(0.5),0.06210223887943381,0.03404250194928546,0.06151515151515151,0.08551531137416366,0.05936954928082107,0.06050895059977111
DisparateImpactRemover(0.7),0.06883785503557588,0.04100774797068596,0.0683838383838384,0.07424086464230571,0.05846457190525545,0.06218697558753228
DisparateImpactRemover(1.0),0.05764193557880935,0.04277790990437713,0.0601010101010101,0.07223044261451364,0.05910159508582119,0.05837057865690629
CalibratedEqOddsPostprocessing,0.060718986684041035,0.04537695718797133,0.054444444444444434,0.08070638188368502,0.05931393614600976,0.06011214126923031
RejectOptionClassification(EO),0.06299429953955869,0.03994504871457544,0.06565656565656566,0.08163921770458053,0.06335852776864936,0.06271873187678594
RejectOptionClassification(DP),0.0650240166274424,0.03215392782275099,0.053333333333333316,0.09133749356664951,0.06272150458808363,0.06091405518765196
