,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.43005181347150256,0.45144356955380577,0.49135802469135803,0.4720194647201946,0.5066079295154186,0.47029616039045596
AdversarialDebiase,0.4170984455958549,0.4461942257217848,0.4074074074074074,0.36496350364963503,0.45594713656387664,0.4183221437877117
GridSearchReduction(EO),0.44041450777202074,0.4671916010498688,0.49382716049382713,0.44768856447688565,0.4977973568281938,0.46938383812415924
GridSearchReduction(DP),0.4378238341968912,0.4330708661417323,0.49382716049382713,0.44525547445255476,0.5022026431718062,0.4624359956913623
Reweight,0.4326424870466321,0.44881889763779526,0.4839506172839506,0.46472019464720193,0.513215859030837,0.4686696111292834
DisparateImpactRemover(0.5),0.4326424870466321,0.47506561679790027,0.5061728395061729,0.45255474452554745,0.4933920704845815,0.47196555167216686
DisparateImpactRemover(0.7),0.4326424870466321,0.46981627296587924,0.4962962962962963,0.44038929440389296,0.4933920704845815,0.4665072842394564
DisparateImpactRemover(1.0),0.4430051813471503,0.4645669291338583,0.49876543209876545,0.45742092457420924,0.5088105726872246,0.4745138079682416
CalibratedEqOddsPostprocessing,0.43523316062176165,0.48031496062992124,0.5012345679012346,0.45498783454987834,0.5066079295154186,0.47567569064364285
RejectOptionClassification(EO),0.43005181347150256,0.4461942257217848,0.48641975308641977,0.45012165450121655,0.4977973568281938,0.4621169607218235
RejectOptionClassification(DP),0.4326424870466321,0.45931758530183725,0.4962962962962963,0.46228710462287104,0.5022026431718062,0.47054922328788856
