,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.935,0.915,0.89,0.84,0.91,0.898
AdversarialDebiase,0.875,0.8,0.905,0.855,0.88,0.8630000000000001
GridSearchReduction(EO),0.92,0.93,0.925,0.855,0.925,0.9110000000000001
GridSearchReduction(DP),0.92,0.93,0.895,0.855,0.91,0.9019999999999999
Reweight,0.935,0.92,0.91,0.845,0.93,0.908
DisparateImpactRemover(0.5),0.925,0.915,0.895,0.86,0.93,0.905
DisparateImpactRemover(0.7),0.895,0.92,0.895,0.885,0.925,0.9039999999999999
DisparateImpactRemover(1.0),0.925,0.93,0.9,0.89,0.92,0.913
CalibratedEqOddsPostprocessing,0.935,0.92,0.895,0.86,0.915,0.905
RejectOptionClassification(EO),0.935,0.93,0.9,0.845,0.93,0.908
RejectOptionClassification(DP),0.94,0.93,0.905,0.835,0.93,0.908
