,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,1.1638795986622072,1.062421972534332,1.1041666666666667,1.0453546453546454,1.0673267326732674,1.088629923178224
AdversarialDebiase,1.2833020637898689,0.5235122763212651,0.96,1.1978021978021978,1.3929129755080774,1.071505902684282
GridSearchReduction(EO),1.1036789297658862,1.0393258426966292,1.08,0.9582417582417582,1.0455445544554456,1.045358217031944
GridSearchReduction(DP),1.060556464811784,1.0792999135695764,1.1666666666666667,0.9456333140543668,1.0693069306930694,1.0642926579590926
Reweight,1.223613595706619,1.0354038583845664,1.1914893617021278,1.0266875981161696,1.1236416324559286,1.1201672092730823
DisparateImpactRemover(0.5),1.1748251748251748,1.0162297128589262,1.1250000000000002,1.005298273155416,1.1714561700072446,1.0985618661693524
DisparateImpactRemover(0.7),1.1377459749552772,1.1224719101123595,1.0851063829787235,1.0235764235764238,1.139765139304628,1.1017331661854823
DisparateImpactRemover(1.0),1.1282051282051282,1.0760079312623925,1.261904761904762,0.9425328769591065,1.1762376237623762,1.116977664418753
CalibratedEqOddsPostprocessing,1.1638795986622072,1.0354038583845664,1.0784313725490198,1.048076923076923,1.0968882602545968,1.0845360025854625
RejectOptionClassification(EO),1.2167832167832169,1.0393258426966292,1.142857142857143,0.991284577491474,1.0713792309463503,1.0923260021549628
RejectOptionClassification(DP),1.1897435897435897,1.0792999135695764,1.08,0.9499810534293291,1.12022630834512,1.083850173017523
