,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,-0.016170212765957453,-0.02592592592592592,0.0,0.024822695035461,-0.0711111111111111,-0.017676910953506694
AdversarialDebiase,0.08893617021276595,-0.4185185185185185,-0.1074074074074074,0.13869188337273444,0.08444444444444446,-0.04277068557919621
GridSearchReduction(EO),-0.016170212765957453,-0.029629629629629624,-0.04444444444444444,0.0063041765169424835,-0.07259259259259258,-0.031306540583136325
GridSearchReduction(DP),-0.016170212765957453,-0.011111111111111106,-0.018518518518518517,-0.017730496453900707,-0.05259259259259259,-0.02322458628841607
Reweight,0.023829787234042547,-0.029629629629629624,0.018518518518518517,0.024822695035461,-0.05555555555555555,-0.003602836879432622
DisparateImpactRemover(0.5),0.0038297872340425504,-0.04814814814814814,-0.04074074074074073,0.061859732072498036,-0.03555555555555555,-0.011750985027580766
DisparateImpactRemover(0.7),-0.016170212765957453,-0.011111111111111106,-0.04444444444444444,0.07762017336485422,-0.03407407407407407,-0.0056359338061465715
DisparateImpactRemover(1.0),0.0038297872340425504,-0.033333333333333326,-0.007407407407407404,0.022064617809298664,-0.03555555555555555,-0.010080378250591012
CalibratedEqOddsPostprocessing,-0.016170212765957453,-0.029629629629629624,-0.037037037037037035,0.04334121355397952,-0.015555555555555552,-0.011010244286840028
RejectOptionClassification(EO),0.0038297872340425504,-0.029629629629629624,-0.018518518518518517,0.0063041765169424835,-0.03555555555555555,-0.01471394799054373
RejectOptionClassification(DP),0.0038297872340425504,-0.011111111111111106,0.0,0.0063041765169424835,-0.03555555555555555,-0.007306540583136324
