,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.9326923076923077,0.92,0.8910891089108911,0.8252427184466019,0.9148936170212766,0.8967835504142154
AdversarialDebiase,0.8979591836734694,0.7652173913043478,0.9183673469387755,0.8571428571428571,0.8913043478260869,0.8659982253771072
GridSearchReduction(EO),0.9306930693069307,0.9393939393939394,0.9134615384615384,0.8240740740740741,0.9354838709677419,0.9086212984408448
GridSearchReduction(DP),0.9306930693069307,0.9484536082474226,0.8846153846153846,0.8431372549019608,0.9239130434782609,0.9061624721099919
Reweight,0.95,0.9381443298969072,0.9029126213592233,0.8269230769230769,0.9659090909090909,0.9167778238176597
DisparateImpactRemover(0.5),0.94,0.9285714285714286,0.8921568627450981,0.8446601941747572,0.9555555555555556,0.912188808209368
DisparateImpactRemover(0.7),0.9270833333333334,0.9473684210526315,0.9081632653061225,0.8725490196078431,0.9354838709677419,0.9181295820535345
DisparateImpactRemover(1.0),0.94,0.9578947368421052,0.9263157894736842,0.8532110091743119,0.9545454545454546,0.9263933980071112
CalibratedEqOddsPostprocessing,0.9326923076923077,0.9381443298969072,0.8773584905660378,0.8380952380952381,0.9438202247191011,0.9060221181939184
RejectOptionClassification(EO),0.9411764705882353,0.9393939393939394,0.8857142857142857,0.8207547169811321,0.9555555555555556,0.9085189936466296
RejectOptionClassification(DP),0.941747572815534,0.9484536082474226,0.8942307692307693,0.8173076923076923,0.9555555555555556,0.9114590396313949
