,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.941747572815534,0.9108910891089109,0.8910891089108911,0.8585858585858586,0.8958333333333334,0.8996293925509056
AdversarialDebiase,0.8543689320388349,0.8712871287128713,0.8910891089108911,0.8484848484848485,0.8541666666666666,0.8638793369628225
GridSearchReduction(EO),0.912621359223301,0.9207920792079208,0.9405940594059405,0.898989898989899,0.90625,0.9158494793654123
GridSearchReduction(DP),0.912621359223301,0.9108910891089109,0.9108910891089109,0.8686868686868687,0.8854166666666666,0.8977014145589317
Reweight,0.9223300970873787,0.900990099009901,0.9207920792079208,0.8686868686868687,0.8854166666666666,0.8996431621317471
DisparateImpactRemover(0.5),0.912621359223301,0.900990099009901,0.900990099009901,0.8787878787878788,0.8958333333333334,0.897844553872863
DisparateImpactRemover(0.7),0.8640776699029126,0.8910891089108911,0.8811881188118812,0.898989898989899,0.90625,0.8883189593231167
DisparateImpactRemover(1.0),0.912621359223301,0.900990099009901,0.8712871287128713,0.9393939393939394,0.875,0.8998585052680024
CalibratedEqOddsPostprocessing,0.941747572815534,0.900990099009901,0.9207920792079208,0.8888888888888888,0.875,0.9054837279844488
RejectOptionClassification(EO),0.9320388349514563,0.9207920792079208,0.9207920792079208,0.8787878787878788,0.8958333333333334,0.909648841097702
RejectOptionClassification(DP),0.941747572815534,0.9108910891089109,0.9207920792079208,0.8585858585858586,0.8958333333333334,0.9055699866103115
