,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.7771047437555298,0.7771047437555298,0.7720528178600599,0.7728015246392594,0.7755921589980942,0.7749311978016946
AdversarialDebiase,0.7843190634996257,0.7794187708432587,0.7830111625374353,0.7832834195480534,0.7847808331064525,0.7829626499069651
GridSearchReduction(EO),0.7770366841353026,0.7786701150207582,0.773141845902532,0.7694663762591887,0.7759324802613667,0.7748495003158296
GridSearchReduction(DP),0.7756754917307561,0.7772408629959845,0.7721208821127145,0.7685815409746801,0.7768173155458753,0.774087218672002
Reweight,0.7740420608453005,0.7775131014768938,0.7725292676286415,0.7717124965967873,0.7756602232507487,0.7742914299596744
DisparateImpactRemover(0.5),0.776288028312802,0.771387735656435,0.7757963517560578,0.7749115164715491,0.7764089300299483,0.7749585124453584
DisparateImpactRemover(0.7),0.7647859524943851,0.7677805757843871,0.7642254288047917,0.7522461203375987,0.7739586169343861,0.7645993388711096
DisparateImpactRemover(1.0),0.7652623698359763,0.7664193833798407,0.7640893002994827,0.7419684181867683,0.7713721753335149,0.7618223294071166
CalibratedEqOddsPostprocessing,0.7745865378071191,0.777989518818485,0.772733460386605,0.7713721753335149,0.7766131227879118,0.7746589630267271
RejectOptionClassification(EO),0.7738378819846186,0.7756074321105288,0.7742989381976586,0.7687176694799891,0.7749795807242037,0.7734883004993998
RejectOptionClassification(DP),0.7757435513509835,0.7738378819846186,0.7704192757963517,0.779335692894092,0.772188946365369,0.7743050696782829
