,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.868369192416677,0.8495062011036465,0.8360837691570953,0.9003168026255337,0.871382189958135,0.8651316310522175
AdversarialDebiase,0.936992070533945,1.0079655370157028,0.9022994193652564,1.0366748395297043,1.0457446179734655,0.9859352968836148
GridSearchReduction(EO),0.8629683669759813,0.860570130219791,0.8759288958161748,0.9127329058578116,0.9024933670685286,0.8829387331876575
GridSearchReduction(DP),0.8802142687956515,0.8667497870944669,0.8823825654809452,0.8965063199976407,0.911695368098168,0.8875096618933747
Reweight,0.8703860378922347,0.8542992065268269,0.8379654159828788,0.8921476659341926,0.8737999973155988,0.8657196647303463
DisparateImpactRemover(0.5),0.945499485699372,0.8810528905415798,0.9185713319952868,1.007550017083634,0.9224478438915806,0.9350243138422906
DisparateImpactRemover(0.7),1.0492343702646014,0.8926248093441048,1.0264098195590734,1.2413985512671923,0.9206768096824746,1.0260688720234892
DisparateImpactRemover(1.0),1.0710362234254018,0.8885310425614996,1.0510634820196043,1.3158048183204414,0.9366296063247144,1.0526130345303324
CalibratedEqOddsPostprocessing,0.8652292220112864,0.864394488759971,0.8203952592251349,0.8893615735986358,0.8607333448097779,0.8600227776809612
RejectOptionClassification(EO),0.8562703321488474,0.8496580777370032,0.8425589820103129,0.8960017346255983,0.8676302466111383,0.86242387462658
RejectOptionClassification(DP),0.91819272887985,0.9084640107465404,0.8281866035171255,0.8127516193163599,0.801648327811064,0.853848658054188
