,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,-0.0737598029633569,-0.0847103992036958,-0.0911919079024797,-0.0566967287738696,-0.0717640609920864,-0.0756245799670977
AdversarialDebiase,-0.0349246056502625,0.0040275121867403,-0.0554355271812166,0.0218528281677214,0.0243793862188766,-0.0080200812516281
GridSearchReduction(EO),-0.0766359870791932,-0.0786251016487463,-0.0694223504074232,-0.0499215177177827,-0.0548235475776877,-0.0658857008861666
GridSearchReduction(DP),-0.066894808095487,-0.0749167924469611,-0.0654686513749279,-0.0587657937697729,-0.0494570160200733,-0.0631006123414445
Reweight,-0.072165599244569,-0.0817255180197861,-0.0905463085837426,-0.061539921379643,-0.0711400887859486,-0.0754234872027379
DisparateImpactRemover(0.5),-0.0293648102040647,-0.0683937202182133,-0.0437239508556369,0.0039728809416581,-0.0435532908704883,-0.036212578241349
DisparateImpactRemover(0.7),0.0238581282766941,-0.0611838061141812,0.0124769135153818,0.1046624321781176,-0.0445421347230264,0.0070543066265971
DisparateImpactRemover(1.0),0.0337222229720032,-0.0634270402699375,0.0239121833359592,0.1306285662581122,-0.0354090716077977,0.0178853721376678
CalibratedEqOddsPostprocessing,-0.0751746397169252,-0.0764487445916941,-0.100691668085712,-0.0629519561521559,-0.0783235668789809,-0.0787181150850936
RejectOptionClassification(EO),-0.0808439999355672,-0.0847894223092521,-0.0882775032774452,-0.0589687930473775,-0.0743388535031847,-0.0774437144145653
RejectOptionClassification(DP),-0.04621506096271233,-0.05102267822417084,-0.09656043233907685,-0.10603353429038515,-0.11217478649896384,-0.0824012984630618
