,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,-0.0134072077468303,-0.0371725484792184,-0.0421533096938088,-0.0160313124449139,-0.0271499333171344,-0.0271828623363812
AdversarialDebiase,0.0398211928610251,0.0535433426308261,0.0047382291526336,0.0603519229949786,0.0759643003379129,0.0468837975954753
GridSearchReduction(EO),-0.0076747307355273,-0.0285678138854175,-0.0099416509497507,-0.0119630718580465,-0.0112516242281281,-0.013879778331374
GridSearchReduction(DP),0.006962053398112,-0.0280308717943844,-0.0134048853948153,-0.0354042337511465,-0.0174979021980558,-0.017475167948058
Reweight,-0.0091305891096247,-0.0381317979006989,-0.0403833524181598,-0.018665913122655,-0.0137845938404495,-0.0240192492783176
DisparateImpactRemover(0.5),0.0144997947932957,-0.009862153185302,-0.0084576653644079,0.0307685924650084,0.0121843886812338,0.0078265914779656
DisparateImpactRemover(0.7),0.093494392865462,0.0030737558861683,0.0561108932661034,0.1594631447454881,0.00756126775175,0.0639406909029944
DisparateImpactRemover(1.0),0.0999273457344737,-0.001572218711244,0.0738146759107792,0.1828835617513619,0.0194885953632303,0.0749083920097202
CalibratedEqOddsPostprocessing,-0.0126706820627156,-0.020929456262978,-0.0511979537537768,-0.0233671531062384,-0.039347787102022,-0.0295026064575462
RejectOptionClassification(EO),-0.0227518773640367,-0.0390839197722985,-0.0417885529531764,-0.0213313507949216,-0.0108088059329694,-0.0271529013634805
RejectOptionClassification(DP),-0.014451141656026345,-0.008955549186103418,-0.050860687578906494,-0.09458619880478503,-0.015809326817560976,-0.03693258080867645
