,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.783797033950239,0.7769634786857212,0.7796190947316349,0.7790361445783133,0.779089790897909,0.7797011085687635
AdversarialDebiase,0.7920828708842027,0.8073456208798601,0.7826874320898225,0.7726754785779398,0.7975296065198013,0.7904642017903254
GridSearchReduction(EO),0.7843980343980343,0.7776559454191033,0.7782683345597253,0.7742669060442848,0.7767084906809599,0.7782595422204216
GridSearchReduction(DP),0.7832391250921602,0.7770856235495297,0.7786814540973506,0.7758329309512313,0.7784160351992178,0.778651033777898
Reweight,0.7828071040947213,0.7782134542335498,0.7787763141696418,0.7773371785628455,0.7762629336579427,0.7786793969437402
DisparateImpactRemover(0.5),0.792823633827818,0.7655411048800859,0.7916401172422581,0.8014221073044603,0.7771010962241169,0.7857056118957478
DisparateImpactRemover(0.7),0.8114501679731243,0.7645572666025024,0.8169135624910111,0.8344145814025332,0.7749756335282652,0.8004622423994873
DisparateImpactRemover(1.0),0.8179483521187045,0.7637985056640154,0.8190641749963784,0.8366360560657322,0.7737279843444227,0.8022350146378507
CalibratedEqOddsPostprocessing,0.7828817733990148,0.777046783625731,0.7783783783783784,0.7778715198264433,0.7779948711686409,0.7788346652796416
RejectOptionClassification(EO),0.7800317731883173,0.7750822869681824,0.779345026370661,0.7763539651837524,0.7767999022124434,0.7775225907846713
RejectOptionClassification(DP),0.7801598837209303,0.774993859002702,0.771379563832394,0.7891148179715086,0.7762596071733561,0.7783815463401782
