,Cross Validate 1,Cross Validate 2,Cross Validate 3,Cross Validate 4,Cross Validate 5,Average
Baseline,0.8088793321527954,0.8144686299615878,0.8009147503493839,0.8112923462986198,0.808423739629866,0.8087957596784505
AdversarialDebiase,0.8124209461168732,0.7683738796414853,0.8236564604243425,0.8508155583437892,0.7993618379068284,0.8109257364866638
GridSearchReduction(EO),0.8076144700227675,0.8172855313700385,0.8062507940541227,0.8116687578419072,0.813784301212508,0.8113207709002689
GridSearchReduction(DP),0.8062231216797369,0.8145966709346991,0.8028204802439334,0.8063989962358845,0.8128908742820676,0.8085860286752643
Reweight,0.8028079939286618,0.8131882202304738,0.8037098208613899,0.8116687578419072,0.8139119336311423,0.8090573452987149
DisparateImpactRemover(0.5),0.7909182899064002,0.8215108834827145,0.7892262736628128,0.7777917189460477,0.8142948308870454,0.7987483993770041
DisparateImpactRemover(0.7),0.7332405767771313,0.8137003841229193,0.72163638673612,0.6777917189460477,0.8118698149329929,0.7516477763030422
DisparateImpactRemover(1.0),0.7251454591449532,0.8115236875800256,0.7183331215855673,0.6515683814303639,0.8074026802807913,0.7427946660043403
CalibratedEqOddsPostprocessing,0.8040728560586896,0.8166453265044814,0.8049803074577563,0.8097867001254705,0.8131461391193363,0.8097262658531468
RejectOptionClassification(EO),0.8073614975967619,0.8140845070422535,0.8072671833312158,0.805771643663739,0.811104020421187,0.8091177704110315
RejectOptionClassification(DP),0.8131549046837521,0.8088706576079989,0.8068691528899141,0.811037417094231,0.8078974098527171,0.8095659084257226
